GeneSymbol	EnsemblID	SeedStatus
ACTB	ENST00000647275.1	Non-seed
AKT1	ENST00000649815.1	Non-seed
BCL2	ENST00000590515.1	Non-seed
CD28	ENST00000458610.6	Seed
CD4	ENST00000544344.5	Non-seed
CD44	ENST00000639002.1	Non-seed
CD80	ENST00000478182.5	Non-seed
CD86	ENST00000493101.5	Non-seed
CD8A	ENST00000409781.1	Non-seed
CSF2	ENST00000296871.3	Seed
CSF3	ENST00000583218.5	Non-seed
CTLA4	ENST00000650075.1	Seed
CTNNB1	ENST00000647413.1	Non-seed
EGF	ENST00000544918.1	Non-seed
EGFR	ENST00000638463.1	Non-seed
ESR1	ENST00000641399.1	Non-seed
FCGR3A	ENST00000476031.1	Non-seed
FGF2	ENST00000644866.2	Non-seed
FN1	ENST00000498719.1	Non-seed
GAPDH	ENST00000619601.1	Non-seed
HSP90AA1	ENST00000560130.1	Non-seed
IFNA1	ENST00000276927.2	Non-seed
IFNG	ENST00000229135.3	Seed
IL10	ENST00000640756.1	Seed
IL13	ENST00000617259.2	Non-seed
IL15	ENST00000529613.5	Non-seed
IL1A	ENST00000263339.3	Seed
IL1B	ENST00000496280.5	Seed
IL2	ENST00000477645.1	Seed
IL4	ENST00000622422.1	Non-seed
IL6	ENST00000485300.1	Seed
INS	ENST00000512523.1	Non-seed
IRAK1	ENST00000477274.1	Seed
JAK1	ENST00000494904.1	Non-seed
JAK2	ENST00000636127.1	Seed
JAK3	ENST00000534444.1	Non-seed
JUN	ENST00000371222.3	Non-seed
MAPK1	ENST00000544786.1	Non-seed
MAPK3	ENST00000494643.1	Non-seed
MMP9	ENST00000372330.3	Non-seed
MYC	ENST00000641252.1	Non-seed
MYD88	ENST00000650112.1	Non-seed
NFKB1	ENST00000600343.5	Non-seed
PTPRC	ENST00000646230.1	Seed
SRC	ENST00000497734.5	Non-seed
STAT3	ENST00000590776.1	Seed
TGFB1	ENST00000600196.1	Non-seed
TLR2	ENST00000646900.1	Seed
TLR4	ENST00000645071.1	Non-seed
TNF	ENST00000449264.2	Seed
TP53	ENST00000635293.1	Non-seed
TRAF6	ENST00000529150.1	Seed
TYK2	ENST00000592137.1	Seed
TYMS	ENST00000584122.1	Seed
